TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
cLl73WiSAiFH5ayFvdXu,10/17/2023,MFB016,Braking,11.8688,7.3423
Rn1V4XeKKFKDkDo6BsEB,10/10/2023,MFB016,Braking,9.1566,9.8127
qg31VN00NvwKX7cd4xBx,10/10/2023,MFB016,Braking,6.0251,7.4994
1NBMQZ7ninE60B9E4qRi,10/3/2023,MFB016,Braking,-2.9456,5.1561
Lp6KIZ3g9UAy8yHlUb3P,10/3/2023,MFB016,Braking,8.6957,17.7005
qiO0Hf3y92JX7E3eswlH,9/26/2023,MFB016,Braking,6.0048,13.0347
TDmsPOqt1m9H1Ccc1UUK,9/26/2023,MFB016,Braking,4.2715,9.621
RZuGnsHQu3DOCrPLhjwL,9/19/2023,MFB016,Braking,7.0839,12.5502
olTArWA5JPOEtnW3d6jZ,9/19/2023,MFB016,Braking,6.0461,12.0343
fJqszW0NzwRBwEP5QMfI,9/12/2023,MFB016,Braking,9.9598,11.9984
08V11mCEGIYEHjf2sLB0,9/12/2023,MFB016,Braking,2.8979,8.0136
bV171J3IFh4WrVVGYcEe,8/29/2023,MFB016,Braking,1.2638,0.15
KOo1jAMEn2PACgaKA95Y,8/29/2023,MFB016,Braking,0.153,3.9584
MptjCH7yYm1EI5WlvbN1,8/29/2023,MFB016,Braking,5.959,4.6687
mYJSsQVxvxr59SsC4Txe,10/17/2023,MFB017,Braking,-4.7545,-8.1901
ntyDMUd5mvht4hGFGFwE,10/17/2023,MFB017,Braking,-5.6148,-7.8701
xpjFYwkvfvbYudSDJb27,10/10/2023,MFB017,Braking,8.5239,7.7484
2vpr784Mx4K5Go5cbnyk,10/10/2023,MFB017,Braking,1.412,-5.7651
ra2tXsebVJ9VxTNRO0fF,10/3/2023,MFB017,Braking,-2.3507,-7.4628
R4HojacGNoXDZJNGdKx8,10/3/2023,MFB017,Braking,-11.3578,-14.0292
CZYIXxhH5xEzfv3Urkxq,9/26/2023,MFB017,Braking,-7.2453,-10.0568
Kv7c26NEezzr8rJ3scMw,9/26/2023,MFB017,Braking,-3.3138,-7.71
mRJqL09hIFkEnGecwMhm,9/19/2023,MFB017,Braking,-12.8,-15.1122
23IIumWFo6SKEeRU3cwj,9/19/2023,MFB017,Braking,-5.5175,0.6814
9bxNmqCvuOR79Pd5smIB,9/12/2023,MFB017,Braking,-14.4725,-23.1292
w81mxUQEsJWDKxKofoug,9/12/2023,MFB017,Braking,-11.0435,-16.1831
58Q6JM2xnGzZknCXZDv9,8/29/2023,MFB017,Braking,-17.9225,-18.7108
YZVWN8pVqRFsw3jvAxhP,8/29/2023,MFB017,Braking,-15.3745,-17.0718
s05ZPs6fn8J8e0KFuaYT,8/29/2023,MFB017,Braking,-18.3082,-13.3482
ezuB8Pw7jX19hn9Sccbx,10/17/2023,MFB018,Braking,-6.8829,-9.4581
ZMpr8UO9KopJtwRgkhyJ,10/17/2023,MFB018,Braking,-7.0583,-6.9669
Poj8zZ6ZnImZKOYvHDOI,10/10/2023,MFB018,Braking,3.363,2.5493
Aj2i75aohLEbCFzQS95X,10/10/2023,MFB018,Braking,-0.8245,-0.5127
lcwLwRxRcADQqV6PoLLJ,10/3/2023,MFB018,Braking,1.6935,2.2894
8knS49ws15VQW6MFIxC4,10/3/2023,MFB018,Braking,3.1465,9.3275
F3LGJzpcEKrcm9WJwKky,9/26/2023,MFB018,Braking,2.2134,3.4867
GDz7yCMB5WoEWuas5AU8,9/26/2023,MFB018,Braking,0.3501,-0.1818
EFtntrrg9Quy4y5MOHea,9/19/2023,MFB018,Braking,-2.5126,4.6211
PCGYtoHpg5qjHmcBk2oL,9/19/2023,MFB018,Braking,3.0847,7.2266
4U2Y6Shs25T6Yqen63JP,9/12/2023,MFB018,Braking,-3.1481,0.3688
y1TquJxpf86J5b6xD6Gf,9/12/2023,MFB018,Braking,2.7402,4.3285
atudah3o0T70Eq89u8B2,8/29/2023,MFB018,Braking,0.0,1.8828
Zj00Y8AAl6Tko5cAllEM,8/29/2023,MFB018,Braking,-0.8684,3.3947
RZbjqIEXXYu4Yf3rchWt,8/29/2023,MFB018,Braking,-4.3316,0.8036
DrR8iFUjqalgCMtg0ib8,10/17/2023,MFB019,Braking,-8.5714,-4.5348
zyOus3AjQK8nInDiYiw1,10/17/2023,MFB019,Braking,-6.0241,4.565
Uz4JCk8UCtdDiuHEMVhp,10/10/2023,MFB019,Braking,-13.3052,-5.5303
q0PokK6Z5oZO5lgnQFcW,10/10/2023,MFB019,Braking,-6.1065,4.8113
ggO7JYnhWdZS6umsFFOv,10/3/2023,MFB019,Braking,-12.8176,-6.219
vd7sLSbZCheLBNcixqyL,10/3/2023,MFB019,Braking,0.3559,2.2448
xv15MnUcwONXVI0E46mm,9/26/2023,MFB019,Braking,-9.4898,-9.0624
l8KUtWGaz7aJSdYS3E4b,9/26/2023,MFB019,Braking,-14.1969,-5.9598
QGxOaIrOFklGfZn5KMhH,8/29/2023,MFB019,Braking,-6.1798,-1.5449
oI9DvSiDa3w1Bu6C1rcK,8/29/2023,MFB019,Braking,-11.8428,-7.2645
azS2Zx5SlWP7jaMUUkDx,8/29/2023,MFB019,Braking,-11.7476,-8.1123
zs5N6vnfl7Lh0Ac60Upz,10/17/2023,MFB020,Braking,7.3735,6.2024
K97B59e14r9BPYsDP4gf,10/17/2023,MFB020,Braking,7.8961,7.2382
paiwlMyFDRNwEwb71OGi,10/10/2023,MFB020,Braking,8.5635,12.6768
b8cUxZ1aNhtAvaexEQYJ,10/10/2023,MFB020,Braking,9.1633,5.8461
tef3IF4QnmCqny9EmaVy,10/3/2023,MFB020,Braking,4.6327,1.087
